14 15 0
3 18 19 2 0
12 2 0
2 4 0
14 6 22 0
2 11 9 6 0
19 13 0
2 9 0
8 1 0
2 20 0
12 2 23 7 8 20 4 15 0
2 13 0
2 13 0
2 1 0
24 22 0
3 23 0
12 9 0
3 18 9 0
9 6 0
2 11 0
7 4 0
16 2 0
18 2 0
8 4 15 9 0
12 15 0
19 9 0
2 14 8 0
2 11 0
14 15 0
13 7 4 9 0
2 22 0
2 14 8 0
8 9 0
2 8 0
3 2 23 6 0
16 22 0
12 9 0
18 10 6 0
2 20 6 0
2 14 15 0
2 8 1 0
2 8 4 0
3 2 0
2 20 0
12 2 0
9 6 0
3 20 0
2 1 15 0
8 1 4 15 0
12 15 0
16 12 2 9 0
13 10 11 8 0
3 10 11 9 6 0
12 4 0
2 20 4 0
2 14 0
18 16 12 2 13 10 23 14 8 1 4 15 0
2 20 0
3 18 2 6 22 0
2 23 0
8 1 0
23 11 0
12 1 4 15 9 0
12 2 20 4 9 0
2 14 4 0
19 2 13 0
11 6 0
18 24 12 2 4 0
3 18 0
23 11 0
14 15 22 0
3 12 14 15 0
2 1 0
23 20 0
2 23 0
23 20 9 6 0
1 4 9 0
2 13 0
2 14 0
19 16 0
12 13 0
2 8 4 0
2 6 0
8 1 0
17 8 9 0
18 8 6 5 0
16 20 0
4 9 0
24 12 2 10 20 0
12 8 1 0
12 2 4 0
2 4 0
14 8 4 0
24 9 6 5 0
8 9 0
2 1 0
11 6 0
2 8 15 0
4 6 0
14 8 0
25 4 6 0
7 8 0
2 14 0
12 2 15 0
19 2 0
2 23 0
2 4 0
19 24 14 20 6 22 0
9 6 0
3 18 23 4 9 0
12 8 4 9 0
16 12 0
1 20 15 9 0
3 2 14 4 0
4 9 0
9 6 0
2 4 0
16 12 2 8 1 20 4 9 0
2 8 0
12 15 0
8 9 0
8 9 0
2 11 0
2 9 0
8 1 0
2 14 22 0
12 2 0
1 4 6 0
3 2 4 0
16 20 0
2 13 0
16 2 4 9 0
8 9 0
2 4 0
8 4 9 0
2 8 0
2 4 9 0
14 4 15 0
18 9 0
14 20 6 22 0
2 8 1 4 0
2 4 0
4 9 0
2 4 9 6 0
2 14 0
2 8 0
2 4 0
2 6 0
8 4 0
2 15 0
4 9 0
26 12 0
2 13 0
16 12 2 13 21 14 8 4 15 9 0
12 2 0
24 12 13 0
12 2 0
8 1 0
8 1 0
11 4 0
14 6 0
12 7 0
16 2 0
8 1 9 0
17 25 0
23 9 0
12 2 21 14 8 15 0
7 4 0
2 11 0
14 4 0
17 25 6 0
8 15 0
21 23 11 0
17 3 18 25 26 19 24 16 12 2 13 14 6 22 0
1 6 0
11 4 9 0
24 7 0
7 15 0
2 20 0
2 11 4 0
2 23 11 9 6 0
14 8 0
2 14 0
12 15 0
25 23 4 9 0
2 4 0
16 2 0
12 2 0
2 23 0
8 4 0
2 6 0
2 8 0
11 9 0
8 1 0
12 8 0
8 20 0
12 2 8 20 4 0
17 23 0
3 25 12 23 11 8 1 15 0
8 1 4 0
8 9 0
3 24 2 11 4 0
2 6 0
12 2 0
3 2 0
12 14 20 4 0
10 11 9 0
14 6 0
12 8 0
25 21 11 0
8 15 9 0
2 4 15 0
2 8 0
3 19 2 4 0
12 2 0
2 13 0
12 6 0
2 10 0
12 2 23 4 0
8 4 9 0
8 1 0
16 9 0
20 4 0
14 15 9 0
14 1 0
12 2 0
20 6 0
8 1 4 0
25 19 16 12 2 13 7 8 20 9 0
2 9 0
8 15 0
21 6 0
17 23 0
2 8 0
14 20 0
13 4 0
12 1 9 0
2 13 0
12 22 0
12 2 8 20 0
2 20 0
3 23 4 6 5 22 0
14 4 5 0
19 13 0
2 9 0
14 8 0
12 2 14 0
10 23 0
18 19 12 2 1 4 9 0
12 2 15 0
2 11 0
2 10 0
2 4 0
16 12 2 14 8 1 20 4 0
2 14 0
14 15 0
24 20 0
2 20 0
2 8 4 0
2 14 20 0
2 20 0
2 9 0
12 8 0
2 8 0
3 25 15 0
12 1 0
14 7 20 0
18 2 13 0
12 2 13 0
4 6 0
2 22 0
12 2 0
12 2 6 0
18 23 8 0
3 2 0
2 8 4 0
12 2 4 0
8 9 0
12 7 0
2 20 15 0
21 9 0
8 1 9 22 0
17 2 0
12 4 0
24 14 0
8 1 4 0
2 9 0
8 4 0
3 13 0
2 21 0
12 10 4 0
19 8 0
12 4 0
12 4 0
12 2 0
2 23 0
3 8 0
11 4 0
2 11 0
2 4 0
2 11 0
23 1 0
3 14 9 22 0
12 2 0
16 2 13 14 20 9 0
10 7 0
18 12 2 8 20 4 15 0
2 9 0
12 8 1 15 0
9 6 0
3 2 9 0
10 11 0
2 22 0
10 14 4 9 0
12 2 10 7 4 9 0
18 12 0
8 1 0
2 13 1 20 15 0
9 6 5 0
2 9 0
24 12 4 9 6 5 0
11 14 0
17 19 20 0
2 14 20 0
2 1 0
2 8 0
8 1 0
2 11 0
18 16 2 13 14 20 4 0
25 24 0
19 4 0
2 8 9 0
14 1 0
1 6 0
2 20 0
