minSupport;DSATminer-1s;PSATminer-1c;DSATminer-4s;PSATminer-4c;DSATminer-8s;PSATminer-8c;DSATminer-16s;PSATminer-16c;DSATminer-24s;PSATminer-24c;Send_time
40000;5.19;7.13;1.51;2.09;0.83;1.56;0.51;1.28;0.56;1.57;4.09
10000;340.13;417.96;99.72;129.68;67.98;92.12;43.22;69.76;39.66;66.97;
5000;1586.39;1915.19;463.96;595.14;267.91;354.73;149.52;262.23;116.94;232.05;
