minSupport;DSATminer-1s;PSATminer-1c;DSATminer-4s;PSATminer-4c;DSATminer-8s;PSATminer-8c;DSATminer-16s;PSATminer-16c;DSATminer-24s;PSATminer-24c;Send_time
80;13.14;14.06;4.48;5.4;3.38;4.05;2.79;3.79;2.79;4.39;2.69
20;48.72;50.54;16.89;19.35;11.64;14.79;10.29;12.57;9.76;13.58;
10;100.34;105.34;31.99;36.86;21.18;24.57;15.87;21.26;15.01;21.88;
