minSupport;DSATminer-1s;PSATminer-1c;DSATminer-4s;PSATminer-4c;DSATminer-8s;PSATminer-8c;DSATminer-16s;PSATminer-16c;DSATminer-24s;PSATminer-24c;Send_time
100000;86.54;92.76;24.45;29.53;16.65;18.9;14.54;18.96;15.21;20.2;13.69
60000;768.65;813.26;243.93;274.24;151.34;177.18;113.5;147.78;111.07;149.36;
40000;3307.0;3512.26;1003.75;1132.71;607.95;690.34;361.03;484.3;366.59;492.24;
