minSupport;DSATminer-1s;PSATminer-1c;DSATminer-4s;PSATminer-4c;DSATminer-8s;PSATminer-8c;DSATminer-16s;PSATminer-16c;DSATminer-24s;PSATminer-24c;Send_time
4000;24.81;26.44;8.79;9.82;6.34;8.12;5.51;7.74;5.46;8.81;15.88
2000;105.64;109.85;32.98;35.96;20.57;25.76;18.88;23.84;15.67;23.28;
1000;1003.55;1049.89;472.52;499.12;361.28;389.97;352.43;373.03;340.58;359.44;
