minSupport;DSATminer-1s;PSATminer-1c;DSATminer-4s;PSATminer-4c;DSATminer-8s;PSATminer-8c;DSATminer-16s;PSATminer-16c;DSATminer-24s;PSATminer-24c;Send_time
40000;2.84;3.64;0.92;1.26;0.57;0.84;0.43;1329.55;0.43;1.24;5.39
25000;564.96;700.07;192.69;252.83;144.48;191.5;96.33;142.67;99.22;140.44;
20000;3858.91;4764.99;1259.72;1586.33;1028.38;1329.55;726.24;999.13;688.0;948.15;
